	title	category
0	Kort sagt, 8. desember	meninger
1	En ekspert – en sexarbeider som har medvirket i porno – formulerte seg meget klart om «barnepornografi» | Per Egil Hegge	meninger
2	Savnet kvinne trolig funnet død i Østfold	norge
3	Duterte truer med å kaste korrupte ut av helikopter	verden
4	– Oslo får perfekt rakettvær	osloby
5	To kvinner etterlyst etter boligbrann i Porsgrunn	norge
6	Debbie Reynolds døde mens hun sørget over datterens bortgang	kultur
7	Knesset til knes i protest om skjørtelengde	verden
8	Politiet i Sveits etter moskéskyting: – Ikke noe som tyder på terror	verden
9	Erna Solberg gjør minimalt ut av statsrådskiftene | Trine Eilertsen	meninger
10	Leteaksjon etter fem i fjellet på Voss	norge
11	En person pågrepet etter skyting mot utested i Oslo fredag	osloby
12	Språket vårt: Importerte ord	kultur
13	Flere hundre fulgte Jakob (14) til graven	norge
14	Bahrain opprettholder dommen mot opposisjonsleder	verden
15	Vil ikke svare på om hun er glad for Hagens comeback	norge
16	Det mest skremmende funnet i PISA-rapporten handler ikke om matematikk, lesing eller naturfag | Helene Skjeggestad	meninger
17	Tørrkokt pinnekjøtt førte til brannutrykning	norge
18	Norges Bank vil at oljepengene skal leve farligere	okonomi
19	Kronikk: Det haster for norske medier nå | Thor Gjermund Eriksen	meninger
20	Her bygges palestinernes drømmesamfunn. Men konflikter er i ferd med å gjøre det om til en spøkelsesby.	verden
21	Dagens quiz	kultur
22	Han har israelske foreldre, oppvokst i Norge: «Er det ikke sånn at jødene styrer Coca-Cola?»	meninger
23	Nekrolog: Anne Borg	personalia
24	Rasende reaksjoner fra Israel etter historisk vedtak i FNs sikkerhetsråd	verden
25	Politiet frykter opptil 40 døde etter brann i festlokale	verden
26	Kjendis + nød gir presseoppslag. Bare synd det som oftest er kjendisen som får mest oppmerksomhet | Anne Håskoll-Haugen	meninger
27	Anundsen forlater Regjeringen med ny kritikk i bagasjen	norge
28	Angrepet i Berlin følger IS' nye terroroppskrift til punkt og prikke. Bilen er gruppens nye foretrukne våpen.	verden
29	Språket vårt: Vi fremholder	kultur
30	17-åring tiltalt for trusler mot jøder og kvinnelige politikere	norge
31	«Killer clowns» må slutte å skremme folk	meninger
32	Ekstremåret 2016 ryster også ytringsfriheten | Frank Rossavik	meninger
33	Kortfilm: Mammas Mann	kultur
34	Født i Polen, bor i Norge: – Så lenge man jobber og kan språket, skal man ikke føle seg nedtrykt	meninger
35	EUs sjefforhandler varsler raske brexit-forhandlinger	verden
36	Flyvertinnen og reiseekspertens tips: Slik reiser du best med barn	norge
37	Påstand om ti års fengsel for Ubaydullah Hussain	norge
38	EU legger plan for hurtigangrep på brexit	verden
39	Livet på toppen: - Det er viktig å behandle alle ansatte ulikt	okonomi
40	Gresk ambassadør drept av brasiliansk politimann	verden
41	Øvelser i medlidenhet	kultur
42	Språket vårt: Bortprioritering	kultur
43	Åtte grunner til Erna Solberg blir sittende tross budsjettbruddet	norge
44	Space Nation: - Snart kan også du få reise til rommet	kultur
45	Sjokkmelding fra Hollande - stiller ikke som presidentkandidat	verden
46	Sivilsamfunnet i Syria er viktigere enn noensinne | Frida Nome	meninger
47	Sju måneders fengsel for å ha skutt ulv	norge
48	Aleppo-seier gir Iran økt innflytelse i Midtøsten	verden
49	Apple Airpods: Jeg tror disse kommer til å forandre livet mitt. Og jeg hadde overhodet ikke forventet det.	kultur
50	Redningsaksjon avsluttet - antatt druknet mann ringte politiet selv	norge
51	99 grunner til å glede seg til konsertåret 2017	osloby
52	Min pappa valgte å dø. Nå vil jeg at flere menn skal snakke om tankene sine. | Thea G. Østensen	meninger
53	Europaminister Bakke-Jensen har en eurokritisk dobbeltgjenger	norge
54	Opprørspoliti drepte minst 26 demonstranteri i Kongo	verden
55	Transportkjemper i Norge med knallharde angrep på Posten Norge	norge
56	På tide å stille klokken!	osloby
57	Politiet: - Har en tanke om hva motivet kan være	norge
58	Azra Gilani kåret som «ei ålreit dame». Skal dele ut én million kroner.	kultur
59	Nekrolog: Rosamaría Paasche	personalia
60	Dødsdømt hostet og knyttet neven i 13 minutter under henrettelsen	verden
61	Titusener sivile fra Aleppo evakueres til det som kan bli Syrias neste slagmark	verden
62	Ingen skadet i bileksplosjon i Canberra	verden
63	Berlin-terroren: Dette er mannen hele Europa leter etter	verden
64	Ny meningsmåling: Arbeiderpartiet går tilbake i Oslo	osloby
65	Skrev fantasier om seksuelle overgrep mot barn. Nå er han dømt.	norge
66	Hvordan forynge en aldrende krimhelt? Send ham tilbake til 1996, til millenniumfrykt og tidlig internett.	amagasinet
67	Nekrolog: Oddvar S. Kvam	personalia
68	Om garderobesnakk, julebordsnakk, kontorsnakk	amagasinet
69	Statsråden garanterer for sikkerheten med DAB	kultur
70	Kilder: «Telenor-styret er fortvilet over Wærsted»	okonomi
71	Kilder hevder Rex Tillerson blir Trumps utenriksminister	verden
72	Truet nabo med skytevåpen	osloby
73	Født i Norge, bosniske foreldre: «Bosniere og serbere er vel nesten det samme?» Vel, det er to ulike folkeslag	meninger
74	Da Kristoffer fikk bytte fra studiespesialiserende til yrkesfag, ble skolehverdagen perfekt	meninger
75	Det gjelder bare å høre etter: kvinnelige komponister leverer, igjen og igjen.	kultur
76	Washington Post: Pensjonert general blir Trumps forsvarsminister	verden
77	Nekrolog: Sigurd Jan Eliassen	personalia
78	Minst 36 omkom i brannen i Oakland	verden
79	Alle omskjæringer i Danmark skal registreres	verden
80	Jusprofessor: - Det kan komme opp flere forhold om Telenor i Asia	okonomi
81	Her dundrer verdens beste kvinnelige elvepadler nedover elven. Hun er gravid i åttende måned	amagasinet
82	Kort sagt, 13. desember	meninger
83	En lynguide til Norges største spellemann	kultur
84	Mannen bak Spice Girls og merkevaren Idol skal få Skam til å ta av i USA	kultur
85	6 viktige grunner til at Telenor-sjef Sigve Brekke er i hardt vær	okonomi
86	Fransk hjelpearbeider bortført i Mali	verden
87	To tonn tungt skilt blåste ned da ekstremværet traff Oslo og Østlandet i natt	norge
88	Satte fyr på naboens balkong, ifølge politiet. Er tidligere straffedømt for ildspåsettelse.	osloby
89	Intens jakt på ukjent gjerningsmann etter julemarkedmassakre	verden
90	Terroristene har siktet seg inn på julen. Trusselen preger hele Europa.	verden
91	Skam har gjort det kult å snakke norsk - i Danmark | Julie Buur Trærup	meninger
92	Tiltalt far om baby: – Han dør ikke, han dør ikke!	norge
93	Ukens kunst: Alt handler om å bli sett	kultur
94	Podkast fra Aftenposten: Skuddet på Toftøy. Episode 4: Passasjeren	amagasinet
95	Ingen overlevende etter flystyrt i Pakistan	verden
96	Dagens quiz	kultur
97	Bil i motgående kjørefelt skapte kaos på E6	norge
98	Linda Bernander Silseth ny styreleder for Nasjonalmuseet	kultur
99	20-åring pågrepet for dobbeltdrap i Sverige	verden
100	Aftenposten mener: Paris-avtalen krever mer av Regjeringen	meninger
101	Indiske aviser: Telenor i samtaler om å gi bort India-virksomheten	norge
102	Kirken må unngå søtladen religiøsitet og slå fast at mørket preger oss alle | Espen Ottosen	meninger
103	Santos: – Fred er den virkelige prisen	norge
104	Minst syv drept i to bombeangrep i Egypt	verden
105	Her sitter sjåføren og leser mens vogntoget dundrer avgårde. Nå kan du snart møte selvkjørende biler på norske veier.	norge
106	STUCK ep. 3:  Proxeneta	verden
107	Heidi Sørensen blir klimasjef i Oslo	osloby
108	Oslo før: Oljeplattformer i Oslo sentrum?	osloby
109	Syria-ekspert: – Den store freden kommer ikke nå	verden
